message,class
เคย เป็นมัน เคย เป็น พิซซ่า ฮัม า ก่อน อ่า เคย เป็น พิซซ่า ฮัม า ก่อน พิซซ่า ฮัรื้อ ออก ไป แล้ว,9arm
แล้ว เรา ก็ แบบ เอ้ย ร้าน นี้ ใกล้ บ้าน ว่ะ ลอง ไป,9arm
ดู ป่ะ ก็ ไปดู เว้ย คือ มัน จะ เป็น เหมือนกับ เวลา ที่ ที่ อเมริกา เนี่ย มัน จะ เป็น เค้า เรียก ว่า complex ก็ คือ แบบ ว่า เป็น ตึก ถ้า เมือง ไทย จะ เป็น ตึก อาคาร พาณิชย์ ติดกัน หลาย ๆ ร้าน ใช่ ป่ะ แต่ ว่าที่ อเมริกา เนี่ย มัน ก็ จะ เป็น คล้ายๆ อย่าง งั้น จะ เป็น ตึก ๆ นึง แล้วก็ แบ่ง เช่า ไป หลาย ๆ ห้อง หลาย ๆ ล็อค เออ แล้วก็ จะ,9arm
มี ลานจอดรถ อยู่ ข้างหน้า เรา ก็ เข้า เข้า ไปดู,9arm
ปรากฏ ว่า ไอ้ ร้าน เนี้ย ตรง เผ ม รู้ อยู่แล้ว เพราะว่า มัน เป็น ร้าน ที่ ผม ไป ซื้อ ของ พวก ของ เล่นพวก DND อ่ะ ร้าน นี้ มัน จะ ขาย แบบ เป็น ร้าน เกม แบบ ขาย Poem อน การ์ด ขาย เกม เก่าๆ ขาย ของ DND ขา ยิก เกอร์ ขาย บอร์ด เกม อะไร อย่า เงี้ย ร้าน บอร์ด เกม เออ แล้วก็ ข้างๆ ก็ เป็น ร้านอาหาร มี ร้าน มี ร้าน ซูชิ มี ร้าน อาหารจีน อยู่แล้ว อะไร เงี้ย แล้ว ตรง เนี้ย ว่าง ๆ ล็อค ที่ว่าง เนี่ย เป็น ล็อค ที่ แบบ ข้าง ร้าน บอร์ด,9arm
เกม พอดี ซึ่ง คน เยอะ แบบ ว่า คน วิ่ง เข้ามา ซื้อ คือ ร้าน ร้าน บอร์ด เกม นี่ คน เข้า ตลอด จอด เลย,9arm
เรา ก็ เลย ว่า เอ้ย โลเคชัน ี่ มันดี นะ เว้ย Very good ว่ะ เออ แล้วก็ ไป นั่ง ส กะ ไป สกา ท แบบ ว่า เอ้ย เอา รถ ขา รถ ไป จอด แล้วก็ แบบ you know ทำ แบบ ใน หนัง เลย ขา รถ ไป จอด ตรง ลานจอดรถ แล้ว ก็ นั่ง กอดอก นับ คน นี้ เข้า ร้าน นู่น คน นั้น เข้า ร้าน นี้ จด เวลา อู นี่ มัน เข้ากัน แบบ ทุกๆ 3 นาที เลย นะเนี่ย มี คน เข้า ออกร้าน ตรงนี้ โอ้ Food tr รา ฟฟิก ดีเยี่ยม Food tr ฟฟิก ดี,9arm
เยี่ยม ภาพ เริ่ม มา เฮ้ย หรือว่า โลเคชัน ี้ จะ ใช้ได้ ใกล้ บ้าน operate ง่าย แต่ ถ้า เกิด ว่า มัน มัน ไม่ ได้ อยู่ ใน เมือง บ้าน กู ไม่ ได้ อยู่ ใน เมือง ค่าเช่า มัน ก็ ต้อง ถูก แล้วก็ เฮ้ย ประกอบ กับ ข้าวมันไก่ ที่ เรา เคย ทำ ขาย,9arm
แล้ว อ่ะ มัน ก็ ไม่ ยาก เพราะว่า ข้าวมันไก่ มัน,9arm
เป๊บ ทีเดียว หมาย ถึงว่า มัน เตรียม ต้ม ไก่ ไว้ เลย เออ เสร็จ แล้ว มาถึง ก็ ประกอบ ร่าง เฉย ๆ ตัก ข้าว ไก่ สับ โป๊ะ ตก ตุ๊ บๆ เอ้ย ปุ๊บ ออก เร็ว ใช่ ป่ะ ร้าน เมนู เดียว ไป เลย เออ หรือ อาจจะ เป็น 2 3 เมนู นึกออก มะ คำ มัน ไก่ ข้าม มัน ไก่ทอด,9arm
ขม มัน ไก่ย่าง อ่า มา แล้วก็ มัน อยู่ ข้าง ร้าน,9arm
เกม อ่ะ คือ มึง มา เล่น D มึง ต้อง หิวข้าว อ่ะ,9arm
ใช่ ป่ะ ตอนนี้ เค้า ก็ ไป กิน ร้าน อาหารจีน ข้าง ๆ หรือ เ้า ไป กิน ร้านอาหาร ญี่ปุ่น ข้างๆ มี ร้าน ขาย แซ น วิ ช ด้วย อ่า มี่ จอร์จ เออ เค้า ก็ กินกัน แถว นั้น เบอก เฮ้ย ถ้า เกิด เรา เปิด ดึก,9arm
หน่อย คน เล่น เกม ต้อง มา กินข้าว เรา บ้าง อ่ะ ชะ,9arm
เออ โอเค เลย โล เค ชั ใช้ได้ เริ่ม ดำเนินการ ดี กว่า ก็ ไป โทร ไปหา นายหน้า ไอ้ ไอ้ ที่ เข้า ลง,9arm
ลิสต์ ว่า ไอ้ ตรงนี้ มี ให้เช่า อ่ะ บอ กว่า เออ ยู เรา อยาก เรา อยาก ดู โล เค ชัของ จริง หน่อย ได้,9arm
มั้ย เห็น ม ของจริง หน่อย โอ เคก็นัด วัน กัน,9arm
เรียบร้อย ว่า จะ เข้า ไปดู แผนการ เนี่ย ระหว่าง ที่ รอ นัด วัน เนี่ย นะ ครับ กู มา แล้ว,9arm
ครับ Executive ผม มี Partner อีก 2 คน ผม เป็น คนดู เรื่อง เงิน แล้วก็ การ จัดการ ดีล กับ คน นะ ครับ มัน จะ มี พา รท เ ner อร์ อีก ท่าน นึง เป็น เชฟ part เ ner อร์ อีก ท่าน นึง เป็น operation นะ ครับ ก็ มี มี พา รท เ ner อร์ 3 คน ก็ พร้อม เรา ก็ เริ่ม ดำเนินการ ผม ก็ ไป ทำ Financial Projection ทันที นะ ครับ ก่อน ที่ เรา จะ ไป ขอ นัด ดู พื้นที่ เนี่ย มัน จะ ต้อง,9arm
มี เค้า เรียก ว่า Business Plan ผม ก็ ทำ Business Plan อ่า ผม ก็ เขียน เลย ครับ นี่ Excel มา ครับ เรา มี ต้นทุน ประมาณ เท่านี้ กะ ว่า ต้นทุน ประมาณ อ่า ไม่ เกิน เท่านี้ นะ เห็น มั้ย ไอ้ ไอ ร้านกาแฟ 150 000 อัน นั่น นี่ เรา บอ กว่า ต้นทุน เรา 80 000 60 000 นึกออก ป่ะ เล็ก ๆ เล็ก ๆ แล้วก็ โอเค ค่าเช่า เท่าไหร่,9arm
ค่าจ้าง คน เท่าไหร่ คน หน้า ร้าน กี่ คน วัตถุ ดิบ เท่าไหร่ ทำ ยันต์ แบบ ไอ้ ของ ใช่ มั้ย cost of good ข้าวมันไก่ 1 จาน ประกอบ ไป ด้วย อะไร บ้าง วัตถุดิบ กี่ อย่าง ราคา เท่าไหร่,9arm
Por ชั เท่าไหร่ ออกมา แล้ว ต้นทุน เท่าไหร่ แล้ วจะ ขาย ที่ เท่าไหร่ คือ ผม เขียน มา หมด แล้ว,9arm
เออ แล้วก็ โปรเจค ชั เลย ว่า ถ้า เกิด ว่า เรา จะ ต้อง ขาย กี่ ออเดอร์ ต่อ วัน เพื่อ ที่ เรา จะ เท่าทุน แล้วก็ กี่ ออเดอร์ กำไร อะไร เงี้ย เจ๊ง บน กระดาษ หรือไม่ เออ ก็ ตัวเลข ก็ ออกมา แบบ ว่า ถ้า เกิด เรา ขาย ได้ วัน ละ 40 ออเดอร์ 40 กล่อง เรา รอด อืถ้า เกิด ขาย เกิน กว่า นั้น คือ แบบ กำไร โอเค ได้ ๆ เอ้ย ตัวเลข make sense วัน ละ 40 กล่อง,9arm
ไม่ ยาก ป่า วะ เออ โอ เคก็พอ ก็ ส่ง Business Plan ไป ด้วย คือ ต้อง เขียน ว่า เอ่อ ร้าน เรา จะ ทำ อะไร ขาย อะไร ส่ง ไป ให้ เอ เชน Agent ก็ เอา ไป ให้ เจ้าของ ตึก ดู เจ้าของ ตึก ก็ บอ กว่า โอเค งั้น ก็ มา ดู ได้ เลย ใช่ มั้บอก ขนาด นี้ ไม่ กลัว เค้า ก๊อ ป สูตร หรอ ครับ สูตร ข้าวมันไก่ กู ก็ มาจาก อินเทอร์เน็ต เข้า มัน ไก่ ไอ้,9arm
มัน สูตร มัน You know เออ กอ ฟ เลย กู กู ส่ง ลิงก์ ให้ ด้วย อ้า มึง เอา ไป,9arm
ดิ ทำให้ เหมือน กู เลย จริง มา ไปดู ร้าน เว้ย แชท,9arm
ก่อนที่จะ ไปดู ร้าน เนี่ย ผม ก็ บอ กว่า เอ้ย ไหน ๆ จะ ไปดู แล้ว อ่ะ ทำไม เรา ไม่ เอา คอน ทร คเตอร์,9arm
เรา เข้าไป เลย คทรคเตอร์ คือ อะไร ก็ ผู้รับ,9arm
เหมา ไปดู เลย ว่า มัน จะ ต้อง ปรับ อะไร บ้าง ใน ร้าน เออ เรา ส่อง หน้า ร้าน ดู อ่ะ ก่อนที่ เรา จะ เข้าไป อ่ะ อูย ใน ร้าน มี มี ตู้เย็น อัน ใหญ่ เป็น แบบ Walk in Fre อยู่ อัน นึง แล้วก็ เอ่อ ข้างหลัง เบียด เคาน์เตอร์ มัน แบบ,9arm
มัน มัน เป็น พิซซ่าฮัท ี่ โดน โละ ออก ไป แล้ว อ่ะ,9arm
เรา ก็ จะ ไปดู ว่า แบบ เออ มัน ต้อง มัน ต้อง ทำ อะไร บ้าง เรา ก็ ติดต่อ ไปหา เอา ผู้รับเหมา ไป เ บอก เอ เยน ว่า เดี๋ยว เรา ไป พร้อม ผู้รับเหมา เลย นะ ครับ ก็ เข้า ไปดู ก็ ปรากฏ ว่า ส ace ก็ ใช้ ได้ สถาน ที่จริง อ นะ ครับ ก็ กว้าง แล้วก็ ยาว หน่อย อ่า เรา ก็ คุย กัน ว่า เออ ร้าน เรา จะ เป็น แบบ lean คือ แบบ take out only ไม่ต้อง นั่ง เพราะว่า เรา จะ ต้องการ พนักงาน ทำงาน แค่ ไม่ 3 คน ไม่ เกิน นี้ นะ ครับ ก็ คือ pick up only มา หยิบ ไป ออก ไม่ต้อง นั่ง ใน ร้าน ไม่,9arm
ต้อง มี พนักงานเสิร์ฟ ีน สุด ๆีน สุด ๆ เพราะว่า เรา งบ น้อย แล้ว บอ กว่า ข้าง หน้าเป็น,9arm
เคาน์เตอร์ ขาย ข้างหลัง เป็น ครัว อ่ะ โอเค หลัง เป็น ครัว ก็ ไปดู อู้ นี่ มัน ต้อง หาทาง นี้,9arm
แหละ คทรคเตอร์ เนี่ย เนี่ย เค้า ก็ มา เค้า เป็น คน ที่ ทำ ร้านอาหาร มา แล้ว หลาย ร้าน เค้า ก็ จะ รู้ ว่า แบ บอ คุณ จะ ขาย อาหาร แบบ ไหน คุณ ต้อง มี,9arm
อุปกรณ์ อะไร บ้าง คุณ จะ ต้อง มี กระทะ มั้ย คุณ,9arm
ต้อง มี เตา ป่ะ แล้ว ใต้ เตา คุณ เป็น อะไร ใต้ เตา,9arm
คุณ เป็น อ่า เตาอบ มั้ย หรือว่า คุณ จะ เอา ตู้ เย็น กี่ ตัว แล้ว ไอ้ นั่น นี่ โอเค แล้ว ถัง ดัก ไขมัน อยู่ ตรงไหน เสร็จ แล้ว น้ำ เนี่ย มัน จะ,9arm
ต้อง อยู่ ใกล้ นะ คือ หมาย ถึงว่า คุณ จะ ต้อง มี ซิง คล้า ง มือ ใน ระยะ 20 ฟุต นะ คุณ ต้อง มี อ่ะ,9arm
ถ้า เกิด ครัว คุณ จะ อยู่ ตรงนี้ ซิง ค มัน ต้อง อยู่ ตรงนั้น อ่ะ ไปดู กลับ ม้า อ๋อ โอเค ครับ,9arm
แล้ว สิ่ง ที่ สำคัญ ที่สุด เนี่ย ก็ คือ ฮู้ ดูด,9arm
ควัน ที่ ดูด ควัน กฎหมาย ชัดเจน มาก นะ ครับ ว่า นี่ มัน จะ ต้อง มี ที่ ดูด ควัน เอ่อ แบบ ใด สเปค ใด ใช่ มั้ย ซึ่ง อัน เนี้ย แพง เพราะว่า มัน จะ ต้อง,9arm
ระดับ แบ บอ ust เรียล ระดับ เกรด ร้านอาหาร นึก ออก ป่ะ แล้ว ถ้า เกิด ว่า ยิ่ง เรา ฮู้ อัน ใหญ่ อ่ะ มัน ยิ่ง แพง เออ ก็ คิด ออกมา ว่า โอ ฮู้ เรา จะ,9arm
ต้อง ใช้ ฮู้ ด กี่ ฟุต ใช่ มสชั เรา มี อะไร บ้าง,9arm
ต้ม ผัด แกง ทอด อะไร ก็ ว่า กัน ไป แล้ว ไอ้ ฮู้ ที่,9arm
มัน มี อยู่แล้ว อ่ะ ใช้ได้ ไหม อ่ะ ก็ ต้อง บอก ว่า โอ เ้าอบ พิซซ่า ครับ มัน เป็น ฮู้ ด ประเภท 2 อ่า ฮูด ประเภท 2 ฮู ประเภท 2 คือ ฮู้ ด ประเภท,9arm
ไม่ต้อง มี ไขมัน เ แค่ อบ พิซซ่า อบ แป้ง โอเค ร้านอาหาร ไทย เรา ร้าน ข้าวมันไก่ เรา อ่ะ อ๋อ,9arm
เรา มี มัน ครับ เรา จะ มี ไก่ย่าง ใช่ มั้ค รับ มี ไก่ทอด ใช่ มั้ย ครับ อ่า มี สตีม มี ไอ น้ำ งั้น ก็ ต้อง ใช้ ฮู้ ด ประเภท นึง ซึ่ง แพง ฮู้ ด เนี่ย ก็ คือ เครื่อง ดูด อากาศ ใช่ มย ดูด อากาศ ออก เสร็จ,9arm
ปั๊บ ไม่ พอ กฎหมาย บอ กว่า อากาศ ออกจะ ต้อง มี อากาศ เข้าที่ เท่ากัน ถู กม ย เพราะว่า สมมุติ คุณ ดูด อากาศ ออก 1 ลิตร คุณ ก็ ต้อง เติม อากาศ จาก ข้างนอก เข้ามา อีก 1 ลิตร เพื่อที่จะ ให้ มัน ให้ มัน สมดุล ไม่ อย่าง,9arm
งั้น มัน จะ กลายเป็น แรงดัน ลบ แล้ว ทุกอย่าง จะ,9arm
ถูก ดูด ออก ไป หมด อะไร เงี้ย คุณ ก็ ต้อง ไป ซื้อ เครื่อง อากาศ มา เพิ่ม อ่ะ ยิ่ง ฮูด คุณ ใหญ่,9arm
เท่าไหร่ อีก เครื่อง ปั๊ม อากาศ ข้างนอก เข้า มา ก็ ต้อง ยิ่งใหญ่ เข้าไป เท่านั้น แล้ว มัน ก็ ต้อง มีระบบ ดับ เพลิง นั่น นู่น นี่ คือ ไป กัน,9arm
ใหญ่ ไป กัน ใหญ่ เลย เออ แพง อ่ะ แพง เรา ก็ รู้ ว่า อันนี้ แพง รู้ ก่อนหน้า นั้น และ ก็ พยายาม ที่ จะ ต่อรอง หมาย ถึงว่า ดู ว่า เรา ต้อง ใช้ ขนาด เท่าไหร่ แล้ว เรา จะ เอา ไอ้ ราคา เนี่ย ไป ต่อ,9arm
รอง กับ เจ้าของ ตึก ใช่ มั้ย เพราะว่า เวลา ที่ คุณ ติดตั้ง แล้ว เนี่ย มัน เป็น ของ ตึก นะ แล้ว,9arm
สมมุติ ว่า เรา เช่า เสร็จ แล้ว เรา ออก อ่ะ เขา ก็ เอา ไป ไง ดังนั้น เขา จะ ต้อง ช่วย เรา จ่าย ค่า,9arm
อุปกรณ์ แล้วก็ ค่าบำรุงรักษา ไอ้ พื้นที่ ใช่ ป่ะ คือ พอ เข้าไป อ๋อ พื้นกระเบื้อง มัน เก่าะ,9arm
พิซซ่า ฮัอ ยู่ มา 10 ปี ะ มัน เก่า เพดาน โอ้โห ผุ หมด เลย ต้อง เปลี่ยน เพดาน ต้อง เปลี่ยน พื้น,9arm
ใช่ ป่ะ โอ ต้อง ใส่ ฮู้ นั่น นู่น นี่ เรา ก็ เลย,9arm
แบบ ว่า เฮ้ย ยู รบกวน ช่วย เอา ประเมินราคา คร่าวๆ ก่อน ได้ มั้ย เพราะว่า งบ เรา ก็ น้อย,9arm
อยู่แล้ว ถ้า เกิด ว่า เรา จะ ต้อง ทำ พวก เรื่อง พวก นี้ เรา ไม่ มี ตังค์ พอ แน่นอน l นอ จะ ต้อง,9arm
ช่วย แล้ว ไอ้ ที่ เรา ทำ เนี่ย มัน จะ ติดกับ ทรัพย์สิน ของ เขา ไป ถึงแม้ว่า เรา จะ เลิก เช่า,9arm
แล้ว อ่ะ มัน ก็ เป็น ของ เค้า ไง ดังนั้น มัน ก็ ต้อง ช่วยกัน โอเค ได้ พา รท เ ner อร์ ของ ผม คน ที่ ทำ operation เนี่ย นะ ครับ น้อง ทำ ร้านอาหาร มา ก่อน หมาย ถึงว่า เป็น เด็กเสิร์ฟ เป็น พนักงาน ร้านอาหาร ไทย สมัย เรียน อะไร อย่าง งี้ นะ ครับ ก็ มาถึง ปุ๊บ โอ้ พี่ ครับ พี่ อาร์ม ครับ เด ี๋ เรา จะ ต้อง มี ตรงนี้ นะ ครับ อ่า เรา,9arm
เรา มี เรา สมมุติ เรา สมมุติ เรา ผัด ตรงนี้ ใช่ มั้ย พี่ เสร็จ แล้ว พอ เรา ผัด ตรงนี้ เรา ต้อง ยก มา ที่ ตรงนี้ เรา ยก พอ เรา ยก มา ถึงที่ ตรงนี้ เสร็จ ปั๊บ อ่า แล้ว นี่ ก็ ประกอบ ประกอบ เสร็จ,9arm
ปั๊บ แล้วก็ ช้อน อย่า งี้ พี่ เออ ผม เลย คิด ว่า โต๊ะ มัน ควรจะ ต้อง อยู่ ตรงนี้ ระยะห่าง ประมาณ เท่านี้ นะ พี่ แล้ว ตู้เย็น อยู่ ข้าง,9arm
ล่าง หยิบ ขึ้น มา แบบนี้ เอ เยน งง ว่า แบบ Oh my god,9arm
คุณ มี ร้านอาหาร ก่อนหน้านี้ มา แล้ว กี่ ล้า นคะ เอ ต้อง บอก ตบ 0 แค่ ไอ้ นั่น มัน เคย ทำงาน ร้านอาหาร ไทย เฉย ว่า แต่ว่า มัน มี vision,9arm
มัน มี vision โอเค โอเค งั้น เนี่ย เรา ก็ ต้อง มี อุปกรณ์ ตรงนี้ อ่ะ ไอ้ คอน ทร คเตอร์ ก็ จด ไป ใช่ มั้ย ไอ้ ผู้รับ หา ก็ จด ๆ อืม โอเค ต้องการ อันนี้ ต้องการ อัน นี้ แล้ว นาย จะ เอา มั้ย เอา ตู้ แช่ น้ำแข็ง มั้ย อ๋อ ตรงนี้ เหรอ อ๋อ โอเค แล้ว ตรงนี้ ทำ ยังไง,9arm
ตรงนั้น ทำ ยังไง อ่ะ คุย กัน เสร็จ ปุ๊บ รอ,9arm
ระหว่าง รอ งบประมาณ ก็ ก็ ไป เตรียม เตรียมการ อย่าง อื่น ใช่ มั้ย แบบ ว่า เอ้ย แล้ว เรา จะ ไปหา,9arm
ใคร มา รัน เริ่ม เออ รอ สัก ประมาณ 2 สัปดาห์,9arm
คอน ทร ค แค เตอร์ ของ เรา เนี่ย นะ ครับ ผู้รับ เหมา เรา ก็ เขียน แปลน ออกมา ทุกคน ผม มี prop ทุกคน เพราะ เรา ไป ลึก ร้าน ข้าวมันไก่ ของ เรา,9arm
นี่ คือ แป น ร้าน ข้าวมันไก่ ของ เรา แชท มัน เป็น แบบนี้ คุณ ดู อธิบาย ได้ มั้ย เนี่ย อันนี้ คือ หน้า ร้าน หน้า,9arm
ร้าน มี เคาน์เตอร์ มี เคาน์เตอร์ เห็น มั้ แล้ว,9arm
ก็ มี โต๊ะ เตรียม ข้าวมันไก่ มี ที่ ทำ ข้าวมัน,9arm
ไก่ โอเค ป่ะ ตู้เย็น นี่ ห้องน้ำ อยู่ หลัง ร้าน,9arm
เออ มี ซิงค์ ล้างมือ คือ มา ครบ มา ครบ แล้ว,9arm
oper เร ชั่น เรา อยู่ แค่นี้ ข้างหน้า ร้าน เวลา,9arm
เรา จะ ขายของ อ่ะ ไม่ ได้มา เล่น ๆ โอเค เขา ก็ เอา แป น นี้ มา เค้า เอา แป น นี้ มา ให้ เรา แชท เรา ก็ แบบ ว่า Oh shit แล้ว น่าจะ แพง นะ อุปกรณ์,9arm
เครื่องครัว เตาอบ นั่น นู่น นี่ หม้อ หุงข้าว,9arm
โอ้ แพง ๆ ฮู้ ด ยาว มาก ฮู ดู ยาว มาก สำคัญ คือ อัน นี้ ฮู้ ด แบบ 24 ฟุต มั้ง 24 ฟุต เขา บอก ว่า มัน ตก ฟุ ตละ 6 000 ดอลลาร์ ฟุ ตละ 200 000 อ่ะ ก็ 24 ฟุต ก็ คูณ ตังค์ เข้าไป โอ้ ไม่ ได้,9arm
แล้ว ค่า ฮู้ ด ก็ ค่า ฮู้ ด ก็ เกิน งบ แล้ว ไม่ ได้,9arm
ไม่ ได้ เรา จะ ต้อง ตัด ใช่ มย เฮ้ย ตัด ได้ ตัด ตัด,9arm
อะไร ตัด ได้ ตัด ๆ ตัด ๆๆ ไม่ เอา อันนี้ ก็ได้ ไม่,9arm
เอา เรา จะ อ่ะ จาก ตอนแรก จะ เพิ่ม เมนู อยาก จะ ทำ,9arm
ผัด ออ ไม่ ทำ ผัด ตัดออก ตัดออก อุปกรณ์ อะไร ไม่,9arm
